,Date,Open_P,High_P,Low_P,Close_P,Adj_Close,Volume,pct
2265,2011-03-28,1514.5,1517.47,1511.98,1514.25,1514.25,103234000.0,-0.003841877783552272
2266,2011-03-25,1515.91,1518.42,1514.25,1515.55,1515.55,120378000.0,0.0008585108139342879
2267,2011-03-24,1513.09,1514.91,1510.0,1513.84,1513.84,117688400.0,-0.001128303256243579
2268,2011-03-23,1505.96,1511.97,1504.95,1511.97,1511.97,110501600.0,-0.001235269249061921
2269,2011-03-22,1512.59,1514.2,1507.51,1509.1,1509.1,94373200.0,-0.0018981858105651117
2270,2011-03-21,1502.01,1509.93,1498.34,1508.88,1508.88,90747000.0,-0.00014578225432360092
2271,2011-03-18,1490.73,1503.89,1489.27,1503.89,1503.89,121822400.0,-0.0033070887015534955
2272,2011-03-17,1483.29,1492.09,1480.27,1492.09,1492.09,102547600.0,-0.007846318547234277
2273,2011-03-16,1485.16,1492.44,1484.71,1492.44,1492.44,115218400.0,0.0002345703007191613
2274,2011-03-15,1494.42,1494.89,1476.24,1484.14,1484.14,166557600.0,-0.005561362600841502
2275,2011-03-14,1486.1,1500.21,1480.53,1495.35,1495.35,88653200.0,0.007553195790154454
2276,2011-03-11,1508.88,1508.88,1494.13,1495.62,1495.62,161596000.0,0.0001805597351789423
2277,2011-03-10,1522.85,1524.12,1515.32,1516.91,1516.91,127197600.0,0.014234899239111698
2278,2011-03-09,1519.18,1525.69,1519.18,1523.69,1523.69,184070000.0,0.004469612567653991
2279,2011-03-08,1519.42,1525.01,1515.17,1517.66,1517.66,150532600.0,-0.00395749791624278
2280,2011-03-07,1521.34,1521.34,1511.27,1515.74,1515.74,92499400.0,-0.001265105491348617
2281,2011-03-04,1519.28,1529.41,1519.28,1522.61,1522.61,164256400.0,0.004532439600459126
2282,2011-03-03,1498.81,1512.82,1497.46,1506.88,1506.88,128673800.0,-0.010330944890680982
2283,2011-03-02,1493.6,1499.28,1488.95,1499.28,1499.28,125651200.0,-0.005043533658951049
2284,2011-03-01,1494.88,1502.24,1492.7,1502.24,1502.24,132904000.0,0.001974280988207733
2285,2011-02-28,1493.4,1493.97,1474.38,1491.25,1491.25,176024000.0,-0.0073157418255405116
2286,2011-02-25,1495.73,1499.44,1489.27,1489.27,1489.27,141395200.0,-0.001327745180217943
2287,2011-02-24,1506.66,1511.39,1489.87,1489.87,1489.87,199282400.0,0.0004028819488741675
2288,2011-02-23,1504.26,1516.52,1502.01,1511.11,1511.11,155976000.0,0.014256277393329686
